address,lat,long
"Nawan Shehr, Khyber Pakhtunkhwa District, Pakistan",NA,NA
Khyber Pakhtunkhwa District,32.56989435,70.91159547862995
"Gurudwara Panja Sahib, Pakistan",33.8203143,72.68910347279684
Panja Sahib,33.8203143,72.68910347279684
India,22.3511148,78.6677428
Amritsar,31.6343083,74.8736788
Ludhiana,30.9090157,75.851601
Delhi,28.6517178,77.2219388
Inderpuri,28.6286841,77.1470979
Pakistan,30.3308401,71.247499
"Nayi Basti, Tehsil, Zilla Multan",NA,NA
Tehsil,28.7303496,77.7757653
Zilla Multan,NA,NA
Multan,30.1979793,71.4724978
"Nawabpur, Pakistan",30.2251588,71.4671043
Fazilka,30.336099599999997,74.11794319222481
Bhiwani,28.7931703,76.1391283
Kingsway Refugee Camp,NA,NA
Edward Line,42.221116,-88.030999
Hisar,29.168807,75.7461103
Shalmi Darwaza,NA,NA
Lahore,31.5656822,74.3141829
Firozpur District of Punjab,30.333333,74.416667
Chandni Chowk,24.890681700000002,67.06336248589622
"Daryaganj, Delhi, India",28.64609,77.243048
Punjabi Bagh,28.668945,77.1324614
Phagwara,31.2206734,75.7696463
Sheikhupura,31.71307025,73.98071523739087
Sangla Hills,31.7458806,73.4051627
Punjab,30.9293211,75.5004841
Qilla Sheikhupura,NA,NA
Fort,44.1550807,-68.7097495
Sialkot,32.4935378,74.5411575
Sheikhupura District,31.7085285,73.9864014
Jalandhar,31.29201065,75.56805772253911
Habbaniyah,33.278889,43.688611
Iraq,33.0955793,44.1749775
Nirali,52.449055,-1.7944957
Rawalpindi,33.6038766,73.048136
West Punjab,30.9293211,75.5004841
Madras,13.0836939,80.270186
Chennai,13.0836939,80.270186
Japan,36.5748441,139.2394179
Lohri,47.0585949,8.4283462
Sankranti,27.2203875,87.6518105
Paharganj,28.6414989,77.2140607
Bangalore,12.9791198,77.5912997
Quetta,30.1957677,67.0172447
Balochistan,28,66
Gujranwala,32.1525312,74.1933745
Bruce Road,38.1662389,-80.7818765
Golden Temple,31.61997565,74.87654076032885
Looni,33.4377574,73.3627618
Marwar,25.66170825,73.68589450054307
Jaipur,26.9154576,75.8189817
Jodhpur,26.2967719,73.0351433
Karol Bagh,28.6529982,77.1890227
Janakpuri,28.6219272,77.0874757
New Delhi,28.6138954,77.2090057
Halla,50.7360524,4.2374349
Chunian District,NA,NA
Manga,-14.7528035,-43.9417044
Khasa,31.6153447,74.7120094
Africa,11.5024338,17.7578122
Canada,61.0666922,-107.991707
United States of America,39.7837304,-100.4458825
Zambia,-14.5189121,27.5589884
Okara,30.8091281,73.4493301
Peeragarhi,28.67731415,77.09310243597042
Burma,17.1750495,95.9999652
Urdu,17.2488259,80.1421979
Masauli,26.9824589,81.3212162
District Barabanki,26.9372521,81.2062101
Lucknow,26.8381,80.9346001
Mussoorie,30.4569012,78.0782906
Purana Qila,28.6092855,77.2435969
Connaught Place,28.6313827,77.2197924
Jhang District,33.6748125,72.6963493
"Sadiq Nehang, Jhang District, Punjab",NA,NA
Dropa,49.88178,19.5503943
Shorkot Camp,30.8349067,72.0764093
Shorkot,30.8349067,72.0764093
Shahdara,28.6733333,77.289024800000007
"Kurukshetra Refugee Camp, Eastern Punjab",NA,NA
Washington D.C.,38.8950368,-77.0365427
Bahawalpur,29.394644,71.6638747
New York,40.7127281,-74.0060152
Peshawar,34.0123846,71.5787458
Ghaziabad,28.711241,77.4445372
Pakistan Punjab,31,72
Murree,33.9056829,73.392674
Kabul,34.5260109,69.1776838
Afghanistan,33.7680065,66.2385139
Khyber Pakhtunkhwa Province,34.0019893,71.48053415993033
Sheffield,53.3806626,-1.4702278
England,52.5310214,-1.2649062
Islamabad,33.6938118,73.0651511
Dehradun,30.3255646,78.0436813
United India,52.134461,21.0610533
Gujarat,22.3850008,71.7452633
Clamin Town,-18.7063456,-40.3969786
Shahan Pur,NA,NA
Abbottabad,34.1436589,73.2139122
Jhelum,32.9247256,73.719388
Leh Kargil,34.5232041,76.15511649700636
Hyderabad,17.360589,78.4740613
Kashmir,35.2444908,58.464248
Pune,18.521428,73.8544541
Patiala,30.2090874,76.3398720856221
Anarkali,31.5679445,74.3074319
Rohtak Road,28.6805141,77.0848056
Budapest,47.4983815,19.0404707
Sarsawa,30.0337402,77.3907148
Mirpur,33.1486351,73.7482102
Kotli,31.771812949999997,76.87543924673191
Jammu,32.7185614,74.8580917
Pathankot,32.301710400000005,75.65864246622084
Hari Pura Mohalla,NA,NA
Rawalpindi District,33.55072925,73.46295652149011
Ambala,30.3843674,76.770421
Jama Masjid,28.6506822,77.23296096363757
Noakhali,22.5313205,91.1775744276286
East Bengal,22.577657950000003,88.39384544842264
Assam,26.4073841,93.2551303
Kolkata,22.5414185,88.35769124388872
Marwari,30.6027951,78.6113283
Gujar Khan,33.2543205,73.3065712
Karachi,24.8667795,67.0311286
Mumbai,19.0759899,72.8773928
Ujjain,23.174597,75.7851423
Dubai,25.0750095,55.18876088183319
Kenya,-0.1667169,37.48603689110992
Pind Dadan Khan,32.5939485,73.0459834
Khewra,32.6406746,73.0094856
Middle East,42.3638002,-71.1013814
Sargodha,32.0898005,72.6782574
Vasant Vihar,28.56069055,77.16079073168567
Yangon,16.7967129,96.1609916
Myanmar,17.1750495,95.9999652
Chittagong,22.3364709,91.8260479
Aravali River,24.6464,72.768
Chandpur,29.14209765,78.29076957121572
Pandara Road,28.6059693,77.2306902
Southampton,50.9025349,-1.404189
Faridabad,28.4029786,77.3103837
Anarkali Bazaar,24.937198,67.0768622
Mcleod Road,49.8459627,-119.6679518
Shimla,31.1041526,77.1709729
Sadar Bazaar,17.6929705,74.0094833
Mathura Road,27.5154683,77.6736292
Tokyo,35.6828387,139.7594549
China,35.000074,104.999927
Sheela,32.1792229,76.323738
Rivoli,45.0697151,7.5176764
Ajmal Khan Road,24.8830025,67.0430356
Delhi-NCR,28.6882438,77.1212148
Shah Alami Bazaar,31.5755232,74.3171128
Ravi River,31.7129447,74.453125575
Lahore Jail,31.5410834,74.32082763502173
East Punjab,31.526594,74.4021605
Saharanpur,29.9880774,77.5081299470512
Haridwar,29.9384473,78.1452985
North Delhi,28.6138954,77.2090057
Ichhra,31.5305555,74.3190003
Sharifpura,31.6316854,74.8879648
Sakhwal,NA,NA
Fateh Jang,33.5690628,72.6349776
Attock,33.7695323,72.3610911
Lalamusa,32.7078451,73.9495557
Jagadhri,30.1293258,77.24548334364559
Mohali,30.7047049,76.7178146
Katra Baggain,NA,NA
Shalimar Gardens,31.5871883,74.3820998
Lahore Central Station,31.5656822,74.3141829
Gujar Khan  Rawalpindi District,33.2543205,73.3065712
London,51.5073219,-0.1276474
Daryaganj,28.64609,77.243048
Gujjar Khan,33.2864257,73.3481508
Kashmiri Gate,28.6699765,77.2320588
Basra,30.4952371,47.8090981
Srinagar,34.0747444,74.8204443
Pattoki,31.0210614,73.852906
Firozpur,30.885100350000002,74.66014081248886
Raiwind Station,31.2442237,74.215911
Pattoki Station,31.0210614,73.852906
KurUnited Kingdomshetra Refugee Camp,NA,NA
Kalkaji,28.5370703,77.2618051
Safdarjung Enclave,28.5656419,77.1934382
Gurgaon,28.42826235,77.00270014657752
Talwandi Rahwali,NA,NA
Gujranwala District,32.166667,73.833333
Wagah,31.5950182,74.5562668
Chheharta Sahib Village,31.6191489,74.793283
Rampura,24.4678894,75.4404322
Paschim Vihar,28.6695782,77.095956
Pandito Wala Mohalla,NA,NA
Delhi Gate of Multan,30.1921663,71.4781091
Gosanyin Mohalla,NA,NA
Multan City,30.1979793,71.4724978
Kapurthala,31.38524095,75.30552273989395
Kashmere Gate,28.666814100000003,77.22905486082311
Upkaar Cinema,NA,NA
Paris,48.8566969,2.3514616
Germany,51.0834196,10.4234469
Thailand,14.8971921,100.83273
America,51.4371483,5.9799001
Faisalabad,31.4220558,73.0923253
Anand Parbat,28.660396,77.18014
Mysore,12.3051828,76.6553609
Sirhind,30.625015,76.3853971
Gurupurab,NA,NA
Rourkela,22.253999399999998,84.8577520139704
Odisha,20.5431241,84.6897321
Aligarh,27.87698975,78.13729027600994
Chandigarh,30.7334421,76.7797143
Sook Kalan,32.5970714,74.1460371
Gujrat District,32.583333,73.75
Gujrat,32.5686782,74.071481
Dassiya,NA,NA
Jhansi,25.531031149999997,78.65268901605349
Madhya Pradesh,23.8143419,77.5340719
Gurugram,28.4646148,77.0299194
Haryana,29,76
Nawanshahr,31.126888899999997,76.15768480633812
Multan District,30.083333,71.666667
Noida,28.5707841,77.3271074
Harinarayanpur,NA,NA
Nadia District,-32.1137744,133.5081835938581
West Bengal,22.9964948,87.6855882
Chittaranjan Park,28.5387523,77.2492493451557
East Pakistan,24.4768783,90.2932426
Malka Hans,30.4244723,73.2781632
Halani,50.1957127,23.4002044
Sindh,25.5,69
Ajmer,26.4691,74.639
Rajasthan,26.8105777,73.7684549
Shadipur,28.6516362,77.1582947
Uch Sharif,29.2389543,71.06148
Rajender Nagar,28.7346244,77.7799984
Paklika,NA,NA
Chhabras,22.7556461,75.8964542
Pindi Bhattian,31.9000019,73.2713766
Toba Tek Singh,30.9777056,72.486079899999993
Chicago,41.8755616,-87.6244212
Illinois,40.0796606,-89.4337288
Gujranwala City,32.1525312,74.1933745
Kamla Nagar,28.680344249999997,77.20212920033055
Malo Mahay,NA,NA
Tehsil Daska,NA,NA
Daska,32.3353965,74.3540308
Gurdaspur District,32.166667,75.316667
Gandhi Maidan,25.617299250000002,85.14507801753075
Gole Market,28.63371865,77.20562662098214
Nigeria,9.6000359,7.9999721
Fiji,-18.1239696,179.0122737
Tonga,-19.9160819,-175.2026424
Vijay Nagar,22.8359967,69.3405962
